## header:
##   title: Th232(n,x) nuclear model parameters
##   source: TALYS-2.2
##   user: Arjan Koning
##   date: 2025-12-18
##   format: YANDF-0.4
## target:
##   Z: 90
##   A: 232
##   nuclide: Th232 
## residual:
##   Z: 90
##   A: 233
##   nuclide: Th233 
## parameters: 
##   level density
a                90 233  16.70415
aadjust          90 233   1.00000
gammald          90 233   0.07697
pair             90 233   0.78615
Pshift           90 233   0.00000   0
Pshiftadjust     90 233   0.00000   0
deltaW           90 233   3.55283   0
Ntop             90 233  22   0
Nlow             90 233   6   0
s2adjust         90 233   1.00000   0
ctable           90 233   0.61834   0
ptable           90 233   0.03453   0
ctableadjust     90 233   0.00000   0
ptableadjust     90 233   0.00000   0
Ufermi           90 233  30.00000   0
cfermi           90 233   5.00000   0
Krotconstant     90 233   1.00000   0
Pshift           90 233   0.00000   1
Pshiftadjust     90 233   0.00000   1
deltaW           90 233   2.50000   1
Ntop             90 233   1   1
Nlow             90 233   0   1
s2adjust         90 233   1.00000   1
ctable           90 233   1.35146   1
ptable           90 233  -1.94808   1
ctableadjust     90 233   0.00000   1
ptableadjust     90 233   0.00000   1
Ufermi           90 233  45.00000   1
cfermi           90 233   5.00000   1
Krotconstant     90 233   1.00000   1
Pshift           90 233   0.00000   2
Pshiftadjust     90 233   0.00000   2
deltaW           90 233   0.60000   2
Ntop             90 233   1   2
Nlow             90 233   0   2
s2adjust         90 233   1.00000   2
ctable           90 233  -0.94101   2
ptable           90 233   1.01594   2
ctableadjust     90 233   0.00000   2
ptableadjust     90 233   0.00000   2
Ufermi           90 233  45.00000   2
cfermi           90 233   5.00000   2
Krotconstant     90 233   1.00000   2
Pshift           90 233   0.00000   3
Pshiftadjust     90 233   0.00000   3
deltaW           90 233   0.60000   3
Ntop             90 233   1   3
Nlow             90 233   0   3
s2adjust         90 233   1.00000   3
ctable           90 233   3.16960   3
ptable           90 233  -1.14439   3
ctableadjust     90 233   0.00000   3
ptableadjust     90 233   0.00000   3
Ufermi           90 233  45.00000   3
cfermi           90 233   5.00000   3
Krotconstant     90 233   1.00000   3
D0               90 233 1.65000E+01
g                90 233  15.53333
gp               90 233   6.00000
gn               90 233   9.53333
gnadjust         90 233   1.00000
gpadjust         90 233   1.00000
gadjust          90 233   1.00000
Risomer          90 233   1.00000
## parameters: 
##   photon strength function
gamgam           90 233   0.00002
gamgamadjust     90 233   1.00000
etable           90 233   0.00000 E1
ftable           90 233   1.00000 E1
wtable           90 233   1.02100 E1
etableadjust     90 233   0.00000 E1
ftableadjust     90 233   1.00000 E1
wtableadjust     90 233   1.00000 E1
upbendc          90 233 3.50000E-08 M1
upbende          90 233 8.00000E-01 M1
upbendf          90 233 6.00000E+00 M1
upbendcadjust    90 233 1.00000E+00 M1
upbendeadjust    90 233 1.00000E+00 M1
upbendfadjust    90 233 1.00000E+00 M1
sgr              90 233   2.818 M1
egr              90 233   7.256 M1
ggr              90 233   4.000 M1
sgradjust        90 233   1.000 M1
egradjust        90 233   1.000 M1
ggradjust        90 233   1.000 M1
etable           90 233   0.00000 E2
ftable           90 233   1.00000 E2
wtable           90 233   1.00000 E2
etableadjust     90 233   0.00000 E2
ftableadjust     90 233   1.00000 E2
wtableadjust     90 233   1.00000 E2
upbendc          90 233 0.00000E+00 M2
upbende          90 233 0.00000E+00 M2
upbendf          90 233 0.00000E+00 M2
upbendcadjust    90 233 1.00000E+00 M2
upbendeadjust    90 233 1.00000E+00 M2
upbendfadjust    90 233 1.00000E+00 M2
sgr              90 233   0.002 M2
egr              90 233   7.256 M2
ggr              90 233   4.000 M2
sgradjust        90 233   1.000 M2
egradjust        90 233   1.000 M2
ggradjust        90 233   1.000 M2
##
## parameters: 
##   fission
##
betafiscor       90 233   1.04349
vfiscor          90 233   0.71170
rmiufiscor       90 233   1.00000
betafiscoradjust   90 233   1.00000
vfiscoradjust    90 233   1.00000
rmiufiscoradjust   90 233   1.00000
bdamp            90 233   0.01000  1
bdampadjust      90 233   1.00000  1
class2width      90 233   0.20000  1
Rtransmom        90 233   0.60000  1
Rclass2mom       90 233   1.00000  1
bdamp            90 233   0.01000  2
bdampadjust      90 233   1.00000  2
class2width      90 233   0.20000  2
Rtransmom        90 233   1.00000  2
Rclass2mom       90 233   1.00000  2
bdamp            90 233   0.01000  3
bdampadjust      90 233   1.00000  3
Rtransmom        90 233   1.00000  3
Rclass2mom       90 233   1.00000  3
## residual:
##   Z: 90
##   A: 232
##   nuclide: Th232 
## parameters: 
##   level density
a                90 232  16.41599
aadjust          90 232   1.00000
gammald          90 232   0.07708
pair             90 232   1.57568
Pshift           90 232   0.00000   0
Pshiftadjust     90 232   0.00000   0
deltaW           90 232   3.39415   0
Ntop             90 232  36   0
Nlow             90 232   6   0
s2adjust         90 232   1.00000   0
ctable           90 232   0.28476   0
ptable           90 232   0.42835   0
ctableadjust     90 232   0.00000   0
ptableadjust     90 232   0.00000   0
Ufermi           90 232  30.00000   0
cfermi           90 232   5.00000   0
Krotconstant     90 232   1.00000   0
Pshift           90 232   0.00000   1
Pshiftadjust     90 232   0.00000   1
deltaW           90 232   2.50000   1
Ntop             90 232   1   1
Nlow             90 232   0   1
s2adjust         90 232   1.00000   1
ctable           90 232   0.32630   1
ptable           90 232   2.77492   1
ctableadjust     90 232   0.00000   1
ptableadjust     90 232   0.00000   1
Ufermi           90 232  45.00000   1
cfermi           90 232   5.00000   1
Krotconstant     90 232   1.00000   1
Pshift           90 232   0.00000   2
Pshiftadjust     90 232   0.00000   2
deltaW           90 232   0.60000   2
Ntop             90 232   1   2
Nlow             90 232   0   2
s2adjust         90 232   1.00000   2
ctable           90 232   8.34473   2
ptable           90 232  -6.59883   2
ctableadjust     90 232   0.00000   2
ptableadjust     90 232   0.00000   2
Ufermi           90 232  45.00000   2
cfermi           90 232   5.00000   2
Krotconstant     90 232   1.00000   2
Pshift           90 232   0.00000   3
Pshiftadjust     90 232   0.00000   3
deltaW           90 232   0.60000   3
Ntop             90 232   1   3
Nlow             90 232   0   3
s2adjust         90 232   1.00000   3
ctable           90 232   0.69898   3
ptable           90 232   0.75241   3
ctableadjust     90 232   0.00000   3
ptableadjust     90 232   0.00000   3
Ufermi           90 232  45.00000   3
cfermi           90 232   5.00000   3
Krotconstant     90 232   1.00000   3
g                90 232  15.46667
gp               90 232   6.00000
gn               90 232   9.46667
gnadjust         90 232   1.00000
gpadjust         90 232   1.00000
gadjust          90 232   1.00000
Risomer          90 232   1.00000
## parameters: 
##   photon strength function
gamgam           90 232   0.00000
gamgamadjust     90 232   1.00000
etable           90 232   0.00000 E1
ftable           90 232   1.00000 E1
wtable           90 232   1.02100 E1
etableadjust     90 232   0.00000 E1
ftableadjust     90 232   1.00000 E1
wtableadjust     90 232   1.00000 E1
upbendc          90 232 3.50000E-08 M1
upbende          90 232 8.00000E-01 M1
upbendf          90 232 6.00000E+00 M1
upbendcadjust    90 232 1.00000E+00 M1
upbendeadjust    90 232 1.00000E+00 M1
upbendfadjust    90 232 1.00000E+00 M1
sgr              90 232 449.000 E1 2
egr              90 232  13.870 E1 2
ggr              90 232   4.770 E1 2
sgradjust        90 232   1.000 E1 2
egradjust        90 232   1.000 E1 2
ggradjust        90 232   1.000 E1 2
sgr              90 232   2.808 M1
egr              90 232   7.261 M1
ggr              90 232   4.000 M1
sgradjust        90 232   1.000 M1
egradjust        90 232   1.000 M1
ggradjust        90 232   1.000 M1
etable           90 232   0.00000 E2
ftable           90 232   1.00000 E2
wtable           90 232   1.00000 E2
etableadjust     90 232   0.00000 E2
ftableadjust     90 232   1.00000 E2
wtableadjust     90 232   1.00000 E2
upbendc          90 232 0.00000E+00 M2
upbende          90 232 0.00000E+00 M2
upbendf          90 232 0.00000E+00 M2
upbendcadjust    90 232 1.00000E+00 M2
upbendeadjust    90 232 1.00000E+00 M2
upbendfadjust    90 232 1.00000E+00 M2
sgr              90 232   0.002 M2
egr              90 232   7.261 M2
ggr              90 232   4.000 M2
sgradjust        90 232   1.000 M2
egradjust        90 232   1.000 M2
ggradjust        90 232   1.000 M2
##
## parameters: 
##   fission
##
betafiscor       90 232   0.50505
vfiscor          90 232   0.84379
rmiufiscor       90 232   1.00000
betafiscoradjust   90 232   1.00000
vfiscoradjust    90 232   1.00000
rmiufiscoradjust   90 232   1.00000
bdamp            90 232   0.01000  1
bdampadjust      90 232   1.00000  1
class2width      90 232   0.20000  1
Rtransmom        90 232   0.60000  1
Rclass2mom       90 232   1.00000  1
bdamp            90 232   0.01000  2
bdampadjust      90 232   1.00000  2
class2width      90 232   0.20000  2
Rtransmom        90 232   1.00000  2
Rclass2mom       90 232   1.00000  2
bdamp            90 232   0.01000  3
bdampadjust      90 232   1.00000  3
Rtransmom        90 232   1.00000  3
Rclass2mom       90 232   1.00000  3
## residual:
##   Z: 89
##   A: 232
##   nuclide: Ac232 
## parameters: 
##   level density
a                89 232  17.07309
aadjust          89 232   1.00000
gammald          89 232   0.07708
pair             89 232   0.00000
Pshift           89 232   0.00000   0
Pshiftadjust     89 232   0.00000   0
deltaW           89 232   4.12503   0
Ntop             89 232  30   0
Nlow             89 232   2   0
s2adjust         89 232   1.00000   0
ctable           89 232   0.00000   0
ptable           89 232   0.00000   0
